Data;KM's
20-06-2026;21916
14-06-2026;21785
12-06-2026;21767
12-06-2026;21744
07-06-2026;21654
03-06-2026;21570
01-06-2026;21488
30-05-2026;21442
28-05-2026;21405
21-05-2026;21232
20-05-2026;21198
16-05-2026;21114
12-05-2026;20998
10-05-2026;20950
08-05-2026;20916
03-05-2026;20730
30-04-2026;20509
29-04-2026;20429
06-04-2026;19817
27-03-2026;19436
16-03-2026;18998
12-03-2026;18891
04-03-2026;18634
28-02-2026;18503
23-02-2026;18230
12-02-2026;18101
04-02-2026;17835
27-01-2026;17510
21-01-2026;17384
09-01-2026;17126
07-01-2026;17053
29-12-2025;16883
25-12-2025;16623
20-12-2025;16555
14-12-2025;16386
11-12-2025;16293
04-12-2025;16076
02-12-2025;15989
01-12-2025;15981
25-10-2025;14761
23-10-2025;14684
07-10-2025;14175
02-10-2025;14053
01-10-2025;14029
29-09-2025;13926
24-09-2025;13801
21-09-2025;13667
16-09-2025;13490
03-09-2025;13137
02-09-2025;13131
25-08-2025;12947
23-08-2025;12873
19-08-2025;12762
22-07-2025;11457
21-07-2025;11409
17-07-2025;11281
11-07-2025;11044
03-07-2025;10775
11-06-2025;9929
21-02-2025;6321
16-02-2025;6140
05-02-2025;5778
28-01-2025;5343
17-01-2025;5086
13-01-2025;4939
01-01-2025;4579
22-12-2024;4157
18-12-2024;4015
17-12-2024;3960
16-12-2024;3921
14-12-2024;3851
21-11-2024;3124
11-11-2024;2961
07-11-2024;2842
01-11-2024;2667
29-10-2024;2584
28-10-2024;2554
26-10-2024;2510
23-10-2024;2402
22-10-2024;2373
21-10-2024;2337
19-10-2024;2265
17-10-2024;2217
14-10-2024;2125
12-10-2024;2099
10-10-2024;2046
09-10-2024;2019
08-10-2024;1992
07-10-2024;1955
30-09-2024;1736
27-09-2024;1594
26-09-2024;1564
24-09-2024;1484
23-09-2024;1471
20-09-2024;1403
18-09-2024;1329
16-09-2024;1285
14-09-2024;1281
10-09-2024;1100
08-09-2024;1085
07-09-2024;1084
06-09-2024;1034
03-09-2024;988
29-08-2024;7
